communities,site,coral_sp_1,coral_sp_2,coral_sp_3,coral_sp_4,coral_sp_5,coral_sp_6,coral_sp_7,coral_sp_8,coral_sp_9,coral_sp_10,coral_sp_11,coral_sp_12,algae_fg_1,algae_fg_2,algae_fg_3,algae_fg_4,algae_fg_5,algae_fg_6,substrate
31,experiment,Stylocoeniella_muscosus,Montipora_altasepta,Echinopora_forskaliana,Cladocora_caespitosa,Porites_colonensis,Acropora_torresiana,Favites_colemani,Duncanopsammia_axifuga,Euphyllia_paraancora,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,experiment,Acanthastrea_subechinata,Anomastraea_irregularis,Favites_stylifera,Goniastrea_minuta,Hydnophora_exesa,Lobophyllia_rowleyensis,Montipora_cocosensis,Pavona_bipartita,Podabacia_crustacea,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,experiment,Madracis_formosa,Cyphastrea_hexasepta,Anacropora_forbesi,Psammocora_digitata,Goniopora_stokesi,Acropora_pulchra,Porites_panamensis,Seriatopora_guttata,Physophyllia_ayleni,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,experiment,Porites_flavus,Isopora_cuneata,Montipora_digitata,Pocillopora_capitata,Psammocora_contigua,Porites_echinulata,Cyphastrea_japonica,Mycedium_steeni,Acropora_sirikitiae,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,experiment,Seriatopora_aculeata,Madracis_decactis,Montipora_stilosa,Acropora_bushyensis,Anacropora_pillai,Stylophora_madagascarensis,Madracis_pharensis,Acropora_hoeksemai,Astrea_annuligera,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,experiment,Stylocoeniella_guentheri,Montipora_floweri,Montipora_hirsuta,Pavona_maldivensis,Stylophora_kuehlmanni,Echinophyllia_echinoporoides,Goniastrea_ramosa,Acropora_parahemprichii,Echinophyllia_echinata,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,experiment,Seriatopora_stellata,Porites_nodifera,Montipora_kellyi,Montipora_mollis,Acropora_desalwii,Astreopora_cucullata,Acropora_granulosa,Acropora_loisetteae,Acropora_minuta,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
